diversity,sparsity,recall,precision,f1,tp,fp,tn,fn,tpr,fpr,tnr,fnr,transformed_dist,cf_error
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.6261587389537584,1.2087207632313357
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.293522830283732,1.4311868659084983
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.432006567692427,0.8106786498579447
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.092684709357834,1.364228493050355
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.2190654733964106,1.0730220400829273
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.3298822352919757,1.1099608805519479
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.2007871332523816,1.066941384106369
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.733787705509178,0.9112835047206594
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.471203157869115,1.157099326587319
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.293817959743621,0.7707242890155576
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.3343284709425833,1.1114506700409035
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.45594859164652,1.1519851649486352
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.6232889211672137,0.8744296962129477
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.270037196415074,2.836841526193068
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.292070830019239,1.4307278497005556
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.564080316657001,1.5213921501461405
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.335165865067728,1.4450626027475921
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.368346868934487,0.789449836344442
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.081039055643567,1.36037293165829
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.7179854846687475,1.2393349599697536
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.5145865316353198,1.1715288512322022
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.188109221285044,1.3960507861599885
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.33654080840262,1.4455136029283622
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.559593673094276,0.8532434540238025
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.613814922586276,1.204611335477613
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.046451534687579,1.015484632662121
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.6573677145859116,0.8857988156955027
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.4780054866217776,1.1593404896131816
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.219759852999386,1.4065866625330459
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.470920728349703,1.1569744092539036
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.5969907083918122,1.1990230843084666
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.1340358085609346,1.3780148387539068
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.128586514848152,1.3761965448579039
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.477687836738875,1.492563324540506
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.286707374308699,1.0955725805661782
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.587233205760627,0.8624315312693366
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.9252658237897977,1.3084302881947847
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.5003304986659534,1.166781768201208
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.6332928543453407,1.2110985643085452
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.582477441700149,2.0926822739254165
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.051045873267709,1.017023138782786
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.763616877948509,1.5974651316458257
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.5081150532950165,1.6176591747988678
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.9256406358825857,1.667998151739491
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.0564931137616234,1.018857886688939
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.22171857230767,1.4072398561329995
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.2052224768069335,1.0684434129810942
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.362395079807513,1.454147580388942
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.5709415406187803,1.1903248628191017
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.9074019021116375,0.9691339845490176
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,0.5227813274326774,0.17426109339868512
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.121616414735861,1.0405388239089277
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,0.8493089327657095,0.28310487682964774
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.630065248605608,0.9281634815752217
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.326399951125696,1.108813575199822
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.8365248708400936,1.27884212691977
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.9253886784724323,0.9751357872682025
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.2042410448549883,0.7347501032268765
0.0,0.25,,0.0,0.0,0,3,1.0,0.0,0.0,1.0,1.0,0.0,1.239824092591069,0.8218503665080124
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.6127164951740034,0.8709084195532423
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.7689425386396382,1.256322913478611
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.7198359618907846,0.9066217100615362
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.323486859114008,1.4324433033064539
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,0.7339176588557249,0.24463921985340678
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.4191355824340404,0.8063815246278132
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.2333568037582796,1.0777928075674093
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.544380406121382,0.8481271924301191
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.5588427556561655,0.8529832985527124
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,4.017075208993636,1.3390312090198482
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.0361692669201576,0.6787235272114124
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.2942260049470609,0.43142450992713366
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.759745953212655,1.839849107179523
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.564871510551061,1.1883016792834495
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.9052663721107206,0.7896085868446011
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.2827251154404142,1.094247861417559
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.107589347538845,1.0358631310565118
0.0,0.16666666666666666,,0.0,0.0,0,2,2.0,0.0,0.0,1.0,1.0,0.0,0.4117661191123637,0.2745107461346307
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,0.43028623840270036,0.1617629958406023
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.5029275837475726,0.8343111718191346
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.432006567692427,0.810678242287266
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.6721641262390547,1.4305455131541038
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.5439598930459852,1.181320168049909
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.406813137246089,0.468937713295605
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.8688987571211102,1.0586695356652227
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.438754275817225,0.8129191819418048
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.4329605661226388,0.47765427656061926
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.9652124482817914,0.9884096078791099
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.7380067850849934,1.2460023894085064
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.720846858162755,0.9069501403294415
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.96177411081504,0.9872651953447166
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,3.8756282490683875,1.2918764836420698
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.3505842221959334,0.45019486646196283
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.573809287863301,0.8579388493418061
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.9636752284494063,1.6822904666426248
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.6590470341630652,0.8046732832695147
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.6157211240791067,0.8719071586066204
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.225786761776965,0.7419289993619701
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,2.4418174920233695,0.8139400742786461
0.0,0.3333333333333333,,0.0,0.0,0,4,0.0,0.0,0.0,1.0,,,1.9493818068725137,0.6497992555468788
