diversity,sparsity,recall,precision,f1,tp,fp,tn,fn,tpr,fpr,tnr,fnr,transformed_dist,cf_error
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,13.487650527058547,3.809202178535765e-07
0.0,0.3111111111111111,,0.0,0.0,0,28,2.0,0.0,0.0,1.0,1.0,0.0,8.010939576070582,0.7827427612368397
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,10.390141236805489,3.666746662043633e-06
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,12.780125820194904,5.869178745092741e-06
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,6.567518891053376,1.1188362339534913e-07
0.0,0.07777777777777778,,0.0,0.0,0,7,23.0,0.0,0.0,1.0,1.0,0.0,6.965740348436386,1.8282922014355458e-05
0.0,0.2222222222222222,,0.0,0.0,0,20,10.0,0.0,0.0,1.0,1.0,0.0,5.678897214642331,4.0634617581004603e-05
0.0,0.17777777777777778,,0.0,0.0,0,16,14.0,0.0,0.0,1.0,1.0,0.0,11.3673150549403,2.4442599297772884e-05
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,8.63214809973341,8.941019839731185e-07
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,11.272184989995239,1.1118599785643126e-06
0.0,0.2333333333333333,,0.0,0.0,0,21,9.0,0.0,0.0,1.0,1.0,0.0,3.1956266489600478,0.23775386813698685
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,5.205054990234667,3.2325770788949393e-06
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,7.351469214255971,8.896238290055802e-07
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,3.0179478608698034,1.4670840613638392e-06
0.0,0.19999999999999998,,0.0,0.0,0,18,12.0,0.0,0.0,1.0,1.0,0.0,10.09073992882359,3.3636184001535416
0.0,0.32222222222222224,,0.0,0.0,0,29,1.0,0.0,0.0,1.0,1.0,0.0,7.66713234515717,5.1114936752644775
0.0,0.3333333333333333,,0.0,0.0,0,30,0.0,0.0,0.0,1.0,,,5.025627600773604,1.675381538391603
0.0,0.3,,0.0,0.0,0,27,3.0,0.0,0.0,1.0,1.0,0.0,5.098230615311081,1.4175764268664286
0.0,0.3,,0.0,0.0,0,27,3.0,0.0,0.0,1.0,1.0,0.0,6.307105724318182,0.11134573676937133
0.0,0.28888888888888886,,0.0,0.0,0,26,4.0,0.0,0.0,1.0,1.0,0.0,3.830080908901109,4.935175754292057e-05
0.0,0.3111111111111111,,0.0,0.0,0,28,2.0,0.0,0.0,1.0,1.0,0.0,10.65780403838131,0.6940893695768534
0.0,0.3333333333333333,,0.0,0.0,0,30,0.0,0.0,0.0,1.0,,,8.57002430151382,5.713489109466711
0.0,0.3111111111111111,,0.0,0.0,0,28,2.0,0.0,0.0,1.0,1.0,0.0,8.816031968675727,2.9387482774840485
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,8.79271722911004,1.9186667498130253e-07
0.0,0.3,,0.0,0.0,0,27,3.0,0.0,0.0,1.0,1.0,0.0,6.7338728321334,0.005540767718610662
0.0,0.07777777777777778,,0.0,0.0,0,7,23.0,0.0,0.0,1.0,1.0,0.0,12.086661200627917,2.3801009014299286e-06
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,4.808431870337578,1.3255197163285332e-06
0.0,0.07777777777777778,,0.0,0.0,0,7,23.0,0.0,0.0,1.0,1.0,0.0,4.307146962356689,9.874371370213732e-07
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,4.528512005686029,1.5941657382268879e-06
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,3.356688969983155,4.665778222841997e-06
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,8.99445865036607,1.1996647492673041e-05
0.0,0.3,,0.0,0.0,0,27,3.0,0.0,0.0,1.0,1.0,0.0,7.260845027040424,2.4203377544431066
0.0,0.13333333333333333,,0.0,0.0,0,12,18.0,0.0,0.0,1.0,1.0,0.0,9.054223652548233,1.9800168111956024e-05
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,5.715969138942405,8.24783725707501e-07
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,4.253849644430931,2.20737401923745e-07
0.0,0.07777777777777778,,0.0,0.0,0,7,23.0,0.0,0.0,1.0,1.0,0.0,4.713005639940533,1.5377521720227386e-05
0.0,0.06666666666666667,,0.0,0.0,0,6,24.0,0.0,0.0,1.0,1.0,0.0,3.9108523421581856,2.1305634455559266e-06
0.0,0.3333333333333333,,0.0,0.0,0,30,0.0,0.0,0.0,1.0,,,13.908141222683437,1.0090679901255704
